Date,open,high,low,close,volume,pct_chg,swing,turn,BIAS,RSI,DMA
2000/12/6,2092.996,2095.436,2070.349,2075.627,1138332500,-0.767,1.1994,1.2564,-0.1203,47.4618,4.2521
2000/12/7,2072.531,2078.142,2060.729,2075.044,968736100,-0.0281,0.8389,1.2108,0.0654,47.0167,9.5778
2000/12/8,2074.566,2083.271,2069.66,2073.163,1158323500,-0.0906,0.6559,1.232,-0.1206,45.3694,5.8625
2000/12/11,2072.283,2072.476,2039.003,2046.076,1198653400,-1.3066,1.6146,1.1033,-1.4085,28.2598,-2.9906
2000/12/12,2045.17,2059.053,2037.901,2059.053,1099182900,0.6342,1.0338,1.492,-0.6858,41.0422,-7.4797
2000/12/13,2057.383,2059.601,2050.178,2056.12,938510200,-0.1424,0.4576,1.109,-0.7729,39.1503,-10.2436
2000/12/14,2056.998,2059.273,2046.938,2051.079,1419281300,-0.2452,0.5999,0.8866,-0.9227,35.7513,-13.0832
2000/12/15,2052.793,2055.609,2036.881,2039.364,1320590700,-0.5712,0.9131,0.9267,-1.2861,28.7826,-15.5951
2000/12/18,2038.448,2044.56,2024.286,2044.545,1126258800,0.254,0.9941,1.1235,-0.8068,35.4591,-11.1419
2000/12/19,2047.348,2056.757,2046.029,2049.032,1136818300,0.2195,0.5247,1.1718,-0.383,41.1889,-8.8823
2000/12/20,2050.068,2071.309,2048.642,2071.268,1192071800,1.0852,1.1062,1.3142,0.7194,61.5098,-5.4168
2000/12/21,2075.562,2086.939,2074.336,2076.886,1249834900,0.2712,0.6085,1.4322,0.9835,65.1596,-0.4396
2000/12/22,2078.426,2079.967,2066.223,2069.768,1203266100,-0.3427,0.6618,1.3253,0.654,56.9492,5.9807
2000/12/25,2071.567,2075.213,2062.036,2068.174,1206101300,-0.077,0.6366,1.3569,0.4685,55.084,8.4967
2000/12/26,2070.377,2076.408,2068.813,2076.266,1042805500,0.3913,0.3672,1.2276,0.7774,62.555,12.2222
2000/12/27,2077.718,2079.762,2055.998,2058.244,1176163200,-0.868,1.1446,1.3269,-0.1077,43.3046,9.405
2000/12/28,2054.517,2061.051,2047.742,2053.704,1384240000,-0.2206,0.6466,1.1994,-0.3407,39.6189,4.5061
2000/12/29,2055.828,2073.878,2055.505,2073.477,1365868000,0.9628,0.8946,1.3223,0.4525,58.2084,1.8366
2001/1/2,2077.076,2103.538,2074.882,2103.469,1865074600,1.4465,1.382,1.4825,1.6154,73.217,3.0032
2001/1/3,2108.254,2123.9,2105.497,2123.899,1715767300,0.9713,0.8749,1.9213,2.2326,79.2951,5.0431
2001/1/4,2125.485,2127.419,2113.179,2117.405,1342354100,-0.3058,0.6705,1.6682,1.6942,72.9779,12.2616
2001/1/5,2117.664,2125.381,2114.056,2125.3,1328817500,0.3729,0.5349,1.6722,1.8366,75.7915,21.7394
2001/1/8,2128.602,2131.98,2092.097,2102.064,1478708500,-1.0933,1.8766,1.8741,0.5676,55.4138,24.2272
2001/1/9,2099.323,2111.1,2082.841,2101.135,1164933800,-0.0442,1.3443,1.4133,0.3649,54.7081,20.4643
2001/1/10,2102.085,2125.67,2102.066,2125.615,1291688300,1.1651,1.1234,1.5174,1.2954,67.7109,15.8726
2001/1/11,2129.61,2131.368,2117.029,2119.141,1407220900,-0.3046,0.6746,1.6679,0.6947,62.057,10.1301
2001/1/12,2116.846,2117.727,2100.273,2104.747,1066088200,-0.6792,0.8236,1.2963,-0.2312,50.7506,0.9152
2001/1/15,2097.091,2097.092,2030.288,2032.443,1499858800,-3.4353,3.174,1.5209,-3.4708,24.1873,-8.9056
2001/1/16,2018.298,2045.946,2007.706,2045.887,1158372200,0.6615,1.8815,1.2938,-2.5658,32.1152,-14.197
2001/1/17,2046.377,2048.695,2031.756,2034.584,732413400,-0.5525,0.828,0.8054,-2.6902,29.0503,-23.4717
2001/1/18,2033.686,2049.355,2033.576,2043.11,1034157100,0.4191,0.7755,0.9769,-1.934,34.692,-31.2484
2001/1/19,2046.581,2067.877,2046.541,2065.606,1183126400,1.1011,1.0443,1.0398,-0.5693,47.8272,-33.1072
2001/2/5,2069.856,2072.547,2005.683,2008.032,897424300,-2.7873,3.237,0.904,-2.9012,29.565,-28.5862
2001/2/6,1999.723,1999.725,1956.178,1995.315,952842700,-0.6333,2.1686,0.9909,-3.0199,26.8478,-28.1186
2001/2/7,1995.603,1998.25,1978.599,1979.939,588222900,-0.7706,0.9849,0.6764,-3.081,23.6889,-24.48
2001/2/8,1977.559,1986.898,1926.4,1930.138,888573700,-2.5153,3.0555,0.8221,-4.6365,16.2554,-28.1741
2001/2/9,1935.188,1963.329,1935.188,1956.97,1123701900,1.3902,1.458,0.9516,-2.5997,30.3801,-35.1236
2001/2/12,1958.655,1961.81,1935.587,1961.221,720307500,0.2172,1.34,0.7719,-2.0408,32.5432,-37.3636
2001/2/13,1962.527,1973.999,1958.991,1963.528,540351400,0.1176,0.7652,0.6192,-1.5205,33.881,-35.4851
2001/2/14,1962.738,1966.84,1956.423,1963.2,438215300,-0.0167,0.5305,0.5102,-1.1832,33.7668,-31.6945
2001/2/15,1963.449,1966.923,1944.56,1946.479,450675600,-0.8517,1.1391,0.5074,-1.5459,27.9922,-18.7632
2001/2/16,1942.049,1942.123,1911.871,1941.964,675020900,-0.232,1.5542,0.7732,-1.1561,26.5225,-9.4002
2001/2/19,1942.579,1969.347,1935.651,1967.55,584608300,1.3175,1.7352,0.6192,0.3529,45.8544,-4.0862
2001/2/20,1969.777,1980.386,1947.255,1953.218,643593400,-0.7284,1.6839,0.7419,-0.1637,38.9637,-1.9385
2001/2/21,1948.417,1948.417,1901.205,1909.326,761781700,-2.2472,2.4171,0.9122,-2.0537,25.1012,-5.652
2001/2/22,1901.993,1922.457,1893.783,1907.26,505473400,-0.1082,1.5018,0.6283,-2.0447,24.6067,-11.208
2001/2/23,1906.914,1936.634,1906.551,1936.346,620974000,1.525,1.5773,0.6987,-0.4454,43.433,-10.2692
2001/2/26,1940.77,1953.771,1935.547,1953.341,730281100,0.8777,0.9412,0.8611,0.4691,51.8613,-12.323
2001/2/27,1956.272,1962.284,1946.98,1962.042,739859300,0.4454,0.7835,0.8116,0.9243,55.8984,-10.4096
2001/2/28,1964.356,1965.021,1950.931,1959.18,614135400,-0.1459,0.7181,0.756,0.7979,54.1073,-0.0368
2001/3/1,1959.009,1968.357,1953.721,1965.121,1166736900,0.3032,0.747,1.2976,1.0067,57.4995,9.6712
2001/3/2,1969.056,1987.389,1968.961,1985.111,1516357700,1.0172,0.9378,1.0345,1.8084,67.2681,15.1095
2001/3/5,1991.28,1993.805,1979.654,1984.2,1071935900,-0.0459,0.7129,0.8744,1.6749,66.4331,19.6163
2001/3/6,1986.732,1990.06,1977.111,1990.06,2087223900,0.2953,0.6526,1.4809,1.783,69.3683,21.5357
2001/3/7,1991.276,1996.853,1986.044,1991.177,1389005400,0.0561,0.5431,1.2291,1.4156,69.9689,19.75
